Name; Height (Inches); Height(Feet-Inches); Weight;Height(Meters);Weight(Kg)
Freddie Boyd;74; 6-2;180;1,8796;81,63265306
Freddie Crawford;76; 6-4;189;1,9304;85,71428571
Freddie Lewis;72; 6-0;175;1,8288;79,36507937
Freeman Williams;76; 6-4;190;1,9304;86,16780045
Gabe Pruitt;76; 6-4;170;1,9304;77,09750567
Gail Goodrich;73; 6-1;170;1,8542;77,09750567
Gal Mekel;75; 6-3;191;1,905;86,62131519
Gani Lawal;81; 6-9;234;2,0574;106,122449
Gar Heard;78; 6-6;219;1,9812;99,31972789
Garfield Smith;81; 6-9;235;2,0574;106,5759637
Garret Siler;83; 6-11;305;2,1082;138,3219955
Garrett Temple;78; 6-6;190;1,9812;86,16780045
Garry Witts;79; 6-7;190;2,0066;86,16780045
Garth Joseph;86; 7-2;315;2,1844;142,8571429
Gary Alcorn;81; 6-9;225;2,0574;102,0408163
Gary Alexander;79; 6-7;240;2,0066;108,8435374
Gary Bergen;80; 6-8;210;2,032;95,23809524
Gary Bradds;80; 6-8;210;2,032;95,23809524
Gary Brokaw;76; 6-4;178;1,9304;80,72562358
Gary Forbes;79; 6-7;220;2,0066;99,77324263
Gary Freeman;81; 6-9;210;2,0574;95,23809524
Gary Garland;76; 6-4;180;1,9304;81,63265306
Gary Grant;75; 6-3;185;1,905;83,90022676
Gary Gray;73; 6-1;185;1,8542;83,90022676
Gary Gregor;79; 6-7;225;2,0066;102,0408163
Gary Hill;76; 6-4;185;1,9304;83,90022676
Gary Leonard;85; 7-1;250;2,159;113,3786848
Gary Melchionni;74; 6-2;185;1,8796;83,90022676
Gary Neal;76; 6-4;210;1,9304;95,23809524
Gary Payton;76; 6-4;180;1,9304;81,63265306
Gary Phillips;75; 6-3;189;1,905;85,71428571
Gary Plummer;81; 6-9;215;2,0574;97,50566893
Gary Suiter;81; 6-9;225;2,0574;102,0408163
Gary Trent;80; 6-8;250;2,032;113,3786848
Gary Voce;81; 6-9;240;2,0574;108,8435374
Gary Zeller;75; 6-3;205;1,905;92,97052154
Gaylon Nickerson;75; 6-3;190;1,905;86,16780045
Geert Hammink;84; 7-0;262;2,1336;118,8208617
Gene Banks;79; 6-7;215;2,0066;97,50566893
Gene Conley;80; 6-8;225;2,032;102,0408163
Gene Guarilia;77; 6-5;220;1,9558;99,77324263
Gene Short;78; 6-6;200;1,9812;90,70294785
Gene Shue;74; 6-2;170;1,8796;77,09750567
Gene Tormohlen;80; 6-8;230;2,032;104,30839
Gene Wiley;82; 6-10;210;2,0828;95,23809524
Geno Carlisle;75; 6-3;180;1,905;81,63265306
Geoff Crompton;83; 6-11;280;2,1082;126,984127
Geoff Huston;74; 6-2;175;1,8796;79,36507937
Geoff Petrie;76; 6-4;190;1,9304;86,16780045
George Blaney;73; 6-1;175;1,8542;79,36507937
George Bon Salle;80; 6-8;220;2,032;99,77324263
George Brown;78; 6-6;190;1,9812;86,16780045
George Carter;76; 6-4;210;1,9304;95,23809524
George Dempsey;74; 6-2;190;1,8796;86,16780045
George Gervin;79; 6-7;180;2,0066;81,63265306
George Hill;74; 6-2;180;1,8796;81,63265306
George Johnson;79; 6-7;210;2,0066;95,23809524
George Johnson;83; 6-11;205;2,1082;92,97052154
George Johnson;83; 6-11;245;2,1082;111,1111111
George Karl;74; 6-2;185;1,8796;83,90022676
George King;72; 6-0;175;1,8288;79,36507937
George Lee;76; 6-4;200;1,9304;90,70294785
George Lehmann;72; 6-0;180;1,8288;81,63265306
George Lynch;80; 6-8;218;2,032;98,86621315
George McCloud;78; 6-6;205;1,9812;92,97052154
George McGinnis;80; 6-8;235;2,032;106,5759637
George Mikan;82; 6-10;245;2,0828;111,1111111
George Patterson;80; 6-8;230;2,032;104,30839
George Ratkovicz;78; 6-6;220;1,9812;99,77324263
George Reynolds;76; 6-4;195;1,9304;88,43537415
George Thompson;74; 6-2;200;1,8796;90,70294785
George Trapp;80; 6-8;205;2,032;92,97052154
George Wilson;80; 6-8;225;2,032;102,0408163
George Yardley;77; 6-5;190;1,9558;86,16780045
George Zidek;84; 7-0;250;2,1336;113,3786848
Georgi Glouchkov;80; 6-8;235;2,032;106,5759637
Gerald Brown;76; 6-4;210;1,9304;95,23809524
Gerald Fitch;75; 6-3;188;1,905;85,26077098
Gerald Glass;77; 6-5;221;1,9558;100,2267574
Gerald Green;80; 6-8;200;2,032;90,70294785
Gerald Henderson;74; 6-2;175;1,8796;79,36507937
Gerald Henderson;77; 6-5;215;1,9558;97,50566893
Gerald Madkins;76; 6-4;200;1,9304;90,70294785
Gerald Paddio;79; 6-7;205;2,0066;92,97052154
Gerald Wallace;79; 6-7;215;2,0066;97,50566893
Gerald Wilkins;78; 6-6;185;1,9812;83,90022676
Gerard King;81; 6-9;230;2,0574;104,30839
Gerry Ward;76; 6-4;195;1,9304;88,43537415
Gheorghe Muresan;91; 7-7;303;2,3114;137,414966
Giannis Antetokounmpo;81; 6-9;210;2,0574;95,23809524
Gil McGregor;80; 6-8;240;2,032;108,8435374
Gilbert Arenas;75; 6-3;191;1,905;86,62131519
Glen Davis;81; 6-9;289;2,0574;131,0657596
Glen Gondrezick;78; 6-6;218;1,9812;98,86621315
