Name; Height (Inches); Height(Feet-Inches); Weight;Height(Meters);Weight(Kg)
Jack Foley;75; 6-3;170;1,905;77,09750567
Jack George;74; 6-2;190;1,8796;86,16780045
Jack Givens;77; 6-5;205;1,9558;92,97052154
Jack Haley;82; 6-10;240;2,0828;108,8435374
Jack Marin;79; 6-7;200;2,0066;90,70294785
Jack McMahon;73; 6-1;185;1,8542;83,90022676
Jack Nichols;79; 6-7;222;2,0066;100,6802721
Jack Parr;81; 6-9;220;2,0574;99,77324263
Jack Sikma;83; 6-11;230;2,1082;104,30839
Jack Stephens;75; 6-3;185;1,905;83,90022676
Jack Turner;76; 6-4;170;1,9304;77,09750567
Jack Turner;77; 6-5;200;1,9558;90,70294785
Jack Twyman;78; 6-6;210;1,9812;95,23809524
Jackie Butler;82; 6-10;250;2,0828;113,3786848
Jackie Dinkins;77; 6-5;210;1,9558;95,23809524
Jackie Moore;77; 6-5;180;1,9558;81,63265306
Jackie Moreland;79; 6-7;215;2,0066;97,50566893
Jackie Ridgle;76; 6-4;195;1,9304;88,43537415
Jackie Robinson;78; 6-6;210;1,9812;95,23809524
Jackson Vroman;82; 6-10;220;2,0828;99,77324263
Jacky Dorsey;79; 6-7;230;2,0066;104,30839
Jacque Vaughn;73; 6-1;190;1,8542;86,16780045
Jae Crowder;79; 6-7;240;2,0066;108,8435374
Jahidi White;81; 6-9;290;2,0574;131,5192744
Jake Ford;75; 6-3;180;1,905;81,63265306
Jake Jones;75; 6-3;180;1,905;81,63265306
Jake Tsakalidis;86; 7-2;285;2,1844;129,2517007
Jake Voskuhl;83; 6-11;245;2,1082;111,1111111
Jalen Rose;80; 6-8;210;2,032;95,23809524
Jamaal Franklin;77; 6-5;191;1,9558;86,62131519
Jamaal Magloire;83; 6-11;259;2,1082;117,4603175
Jamaal Tinsley;75; 6-3;195;1,905;88,43537415
Jamaal Wilkes;78; 6-6;190;1,9812;86,16780045
Jamal Crawford;78; 6-6;185;1,9812;83,90022676
Jamal Mashburn;80; 6-8;240;2,032;108,8435374
Jamal Robinson;79; 6-7;212;2,0066;96,14512472
Jamal Sampson;83; 6-11;235;2,1082;106,5759637
Jamario Moon;80; 6-8;205;2,032;92,97052154
Jameer Nelson;72; 6-0;190;1,8288;86,16780045
Jamel Thomas;78; 6-6;215;1,9812;97,50566893
James Anderson;78; 6-6;215;1,9812;97,50566893
James Augustine;82; 6-10;235;2,0828;106,5759637
James Bailey;81; 6-9;220;2,0574;99,77324263
James Blackwell;72; 6-0;190;1,8288;86,16780045
James Collins;76; 6-4;196;1,9304;88,88888889
James Cotton;77; 6-5;220;1,9558;99,77324263
James Donaldson;86; 7-2;275;2,1844;124,7165533
James Edwards;84; 7-0;225;2,1336;102,0408163
James Harden;77; 6-5;220;1,9558;99,77324263
James Hardy;80; 6-8;220;2,032;99,77324263
James Johnson;81; 6-9;245;2,0574;111,1111111
James Jones;80; 6-8;225;2,032;102,0408163
James Lang;82; 6-10;285;2,0828;129,2517007
James Nunnally;79; 6-7;205;2,0066;92,97052154
James Posey;80; 6-8;215;2,032;97,50566893
James Ray;80; 6-8;215;2,032;97,50566893
James Robinson;74; 6-2;180;1,8796;81,63265306
James Scott;78; 6-6;180;1,9812;81,63265306
James Silas;73; 6-1;180;1,8542;81,63265306
James Singleton;80; 6-8;216;2,032;97,95918367
James Southerland;80; 6-8;215;2,032;97,50566893
James Thomas;80; 6-8;235;2,032;106,5759637
James White;79; 6-7;200;2,0066;90,70294785
James Wilkes;79; 6-7;195;2,0066;88,43537415
James Worthy;81; 6-9;225;2,0574;102,0408163
JamesOn Curry;75; 6-3;190;1,905;86,16780045
Jamie Feick;81; 6-9;255;2,0574;115,6462585
Jamie Waller;76; 6-4;215;1,9304;97,50566893
Jamie Watson;79; 6-7;190;2,0066;86,16780045
Jamison Brewer;76; 6-4;184;1,9304;83,44671202
Jan Van Breda Kolff;79; 6-7;195;2,0066;88,43537415
Jan Vesely;83; 6-11;240;2,1082;108,8435374
Jannero Pargo;73; 6-1;175;1,8542;79,36507937
Jared Cunningham;76; 6-4;194;1,9304;87,98185941
Jared Dudley;79; 6-7;225;2,0066;102,0408163
Jared Jeffries;83; 6-11;230;2,1082;104,30839
Jared Reiner;83; 6-11;255;2,1082;115,6462585
Jared Sullinger;81; 6-9;280;2,0574;126,984127
Jaren Jackson;76; 6-4;190;1,9304;86,16780045
Jarrett Jack;75; 6-3;202;1,905;91,60997732
Jarron Collins;83; 6-11;255;2,1082;115,6462585
Jarvis Hayes;79; 6-7;220;2,0066;99,77324263
Jarvis Varnado;81; 6-9;230;2,0574;104,30839
Jason Caffey;80; 6-8;255;2,032;115,6462585
Jason Collier;84; 7-0;260;2,1336;117,9138322
Jason Collins;84; 7-0;255;2,1336;115,6462585
Jason Hart;75; 6-3;185;1,905;83,90022676
Jason Kapono;80; 6-8;213;2,032;96,59863946
Jason Kidd;76; 6-4;205;1,9304;92,97052154
Jason Lawson;83; 6-11;240;2,1082;108,8435374
Jason Maxiell;79; 6-7;260;2,0066;117,9138322
Jason Miskiri;74; 6-2;175;1,8796;79,36507937
Jason Richardson;78; 6-6;220;1,9812;99,77324263
Jason Sasser;79; 6-7;225;2,0066;102,0408163
Jason Smith;84; 7-0;240;2,1336;108,8435374
Jason Terry;74; 6-2;176;1,8796;79,8185941
Jason Thompson;83; 6-11;250;2,1082;113,3786848
Jason Williams;73; 6-1;190;1,8542;86,16780045
Javaris Crittenton;77; 6-5;200;1,9558;90,70294785
Jawad Williams;81; 6-9;218;2,0574;98,86621315
Jawann Oldham;84; 7-0;215;2,1336;97,50566893
Jay Arnette;74; 6-2;175;1,8796;79,36507937
Jay Carty;80; 6-8;220;2,032;99,77324263
Jay Edwards;76; 6-4;185;1,9304;83,90022676
Jay Guidinger;82; 6-10;255;2,0828;115,6462585
Jay Humphries;75; 6-3;185;1,905;83,90022676
Jay Miller;77; 6-5;205;1,9558;92,97052154
Jay Murphy;81; 6-9;220;2,0574;99,77324263
Jay Taylor;75; 6-3;190;1,905;86,16780045
Jay Vincent;79; 6-7;220;2,0066;99,77324263
Jay Williams;74; 6-2;195;1,8796;88,43537415
Jayson Williams;81; 6-9;240;2,0574;108,8435374
Jeff Adrien;79; 6-7;243;2,0066;110,2040816
Jeff Ayres;81; 6-9;240;2,0574;108,8435374
Jeff Cook;82; 6-10;215;2,0828;97,50566893
Jeff Cross;82; 6-10;240;2,0828;108,8435374
Jeff Foote;84; 7-0;265;2,1336;120,1814059
Jeff Foster;83; 6-11;236;2,1082;107,0294785
Jeff Grayer;77; 6-5;200;1,9558;90,70294785
Jeff Green;81; 6-9;235;2,0574;106,5759637
Jeff Halliburton;77; 6-5;193;1,9558;87,52834467
Jeff Hornacek;75; 6-3;190;1,905;86,16780045
Jeff Judkins;78; 6-6;185;1,9812;83,90022676
Jeff Lamp;78; 6-6;195;1,9812;88,43537415
Jeff Lebo;74; 6-2;180;1,8796;81,63265306
Jeff Malone;76; 6-4;205;1,9304;92,97052154
Jeff Martin;77; 6-5;195;1,9558;88,43537415
Jeff McInnis;76; 6-4;190;1,9304;86,16780045
Jeff Mullins;76; 6-4;190;1,9304;86,16780045
Jeff Nordgaard;79; 6-7;225;2,0066;102,0408163
Jeff Ruland;82; 6-10;240;2,0828;108,8435374
Jeff Sanders;80; 6-8;225;2,032;102,0408163
Jeff Slade;78; 6-6;220;1,9812;99,77324263
Jeff Taylor;76; 6-4;175;1,9304;79,36507937
Jeff Taylor;79; 6-7;225;2,0066;102,0408163
Jeff Teague;74; 6-2;180;1,8796;81,63265306
Jeff Trepagnier;76; 6-4;200;1,9304;90,70294785
Jeff Turner;81; 6-9;230;2,0574;104,30839
Jeff Webb;76; 6-4;170;1,9304;77,09750567
Jeff Webster;80; 6-8;232;2,032;105,2154195
Jeff Wilkins;83; 6-11;230;2,1082;104,30839
Jeff Withey;84; 7-0;235;2,1336;106,5759637
Jeffrey Sheppard;75; 6-3;190;1,905;86,16780045
Jelani McCoy;82; 6-10;245;2,0828;111,1111111
Jerald Honeycutt;81; 6-9;245;2,0574;111,1111111
Jeremy Evans;81; 6-9;196;2,0574;88,88888889
Jeremy Lamb;77; 6-5;180;1,9558;81,63265306
Jeremy Lin;75; 6-3;200;1,905;90,70294785
Jeremy Pargo;74; 6-2;219;1,8796;99,31972789
Jeremy Richardson;78; 6-6;185;1,9812;83,90022676
Jeremy Tyler;82; 6-10;260;2,0828;117,9138322
Jermaine Jackson;76; 6-4;204;1,9304;92,5170068
Jermaine O'Neal;83; 6-11;226;2,1082;102,4943311
Jermaine Taylor;76; 6-4;210;1,9304;95,23809524
Jermareo Davidson;82; 6-10;230;2,0828;104,30839
Jerome Allen;76; 6-4;184;1,9304;83,44671202
Jerome Anderson;77; 6-5;195;1,9558;88,43537415
Jerome Beasley;82; 6-10;237;2,0828;107,4829932
Jerome Dyson;75; 6-3;180;1,905;81,63265306
Jerome Harmon;76; 6-4;190;1,9304;86,16780045
Jerome Henderson;83; 6-11;230;2,1082;104,30839
Jerome James;84; 7-0;300;2,1336;136,0544218
Jerome Jordan;84; 7-0;253;2,1336;114,739229
Jerome Kersey;79; 6-7;215;2,0066;97,50566893
Jerome Lane;78; 6-6;230;1,9812;104,30839
Jerome Moiso;82; 6-10;235;2,0828;106,5759637
Jerome Whitehead;82; 6-10;220;2,0828;99,77324263
Jerome Williams;81; 6-9;206;2,0574;93,42403628
Jerrod Mustaf;82; 6-10;238;2,0828;107,9365079
Jerry Baskerville;79; 6-7;190;2,0066;86,16780045
Jerry Bird;78; 6-6;210;1,9812;95,23809524
Jerry Chambers;77; 6-5;185;1,9558;83,90022676
Jerry Eaves;76; 6-4;180;1,9304;81,63265306
Jerry Greenspan;77; 6-5;195;1,9558;88,43537415
Jerry Grote;76; 6-4;215;1,9304;97,50566893
Jerry Harkness;74; 6-2;175;1,8796;79,36507937
Jerry Lucas;80; 6-8;230;2,032;104,30839
Jerry Paulson;74; 6-2;185;1,8796;83,90022676
Jerry Reynolds;80; 6-8;200;2,032;90,70294785
Jerry Sichting;73; 6-1;168;1,8542;76,19047619
Jerry Sloan;77; 6-5;195;1,9558;88,43537415
Jerry Smith;74; 6-2;190;1,8796;86,16780045
Jerry Stackhouse;78; 6-6;218;1,9812;98,86621315
Jerry West;74; 6-2;175;1,8796;79,36507937
Jerryd Bayless;75; 6-3;200;1,905;90,70294785
Jeryl Sasser;78; 6-6;200;1,9812;90,70294785
Jesse Arnelle;77; 6-5;220;1,9558;99,77324263
Jesse Branson;79; 6-7;195;2,0066;88,43537415
Jesse Dark;77; 6-5;210;1,9558;95,23809524
Jim Ard;80; 6-8;215;2,032;97,50566893
Jim Baechtold;76; 6-4;205;1,9304;92,97052154
Jim Barnes;80; 6-8;210;2,032;95,23809524
Jim Barnett;76; 6-4;170;1,9304;77,09750567
Jim Bostic;79; 6-7;225;2,0066;102,0408163
Jim Brewer;81; 6-9;210;2,0574;95,23809524
Jim Brogan;76; 6-4;185;1,9304;83,90022676
Jim Burns;75; 6-3;195;1,905;88,43537415
Jim Caldwell;82; 6-10;240;2,0828;108,8435374
Jim Chones;83; 6-11;220;2,1082;99,77324263
Jim Cleamons;75; 6-3;185;1,905;83,90022676
Jim Creighton;80; 6-8;200;2,032;90,70294785
Jim Davis;81; 6-9;225;2,0574;102,0408163
Jim Eakins;83; 6-11;215;2,1082;97,50566893
Jim Farmer;76; 6-4;190;1,9304;86,16780045
Jim Fox;82; 6-10;230;2,0828;104,30839
Jim Fritsche;80; 6-8;210;2,032;95,23809524
Jim Garvin;79; 6-7;200;2,0066;90,70294785
Jim Grandholm;84; 7-0;235;2,1336;106,5759637
Jim Holstein;75; 6-3;180;1,905;81,63265306
Jim Jackson;78; 6-6;220;1,9812;99,77324263
Jim Johnstone;83; 6-11;245;2,1082;111,1111111
Jim King;74; 6-2;175;1,8796;79,36507937
Jim Krebs;80; 6-8;230;2,032;104,30839
Jim Lampley;82; 6-10;230;2,0828;104,30839
Jim Les;71; 5-11;165;1,8034;74,82993197
Jim Loscutoff;77; 6-5;220;1,9558;99,77324263
Jim Marsh;79; 6-7;215;2,0066;97,50566893
Jim McDaniels;83; 6-11;228;2,1082;103,4013605
Jim McElroy;75; 6-3;190;1,905;86,16780045
Jim McIlvaine;85; 7-1;240;2,159;108,8435374
Jim McMillian;77; 6-5;215;1,9558;97,50566893
Jim Neal;83; 6-11;235;2,1082;106,5759637
Jim Owens;77; 6-5;200;1,9558;90,70294785
Jim Palmer;80; 6-8;224;2,032;101,5873016
Jim Paxson;78; 6-6;200;1,9812;90,70294785
Jim Petersen;82; 6-10;235;2,0828;106,5759637
Jim Pollard;76; 6-4;185;1,9304;83,90022676
Jim Price;75; 6-3;195;1,905;88,43537415
Jim Ray;73; 6-1;180;1,8542;81,63265306
Jim Reid;78; 6-6;210;1,9812;95,23809524
Jim Rowinski;80; 6-8;250;2,032;113,3786848
Jim Smith;81; 6-9;225;2,0574;102,0408163
Jim Spanarkel;77; 6-5;190;1,9558;86,16780045
Jim Thomas;75; 6-3;190;1,905;86,16780045
Jim Tucker;79; 6-7;185;2,0066;83,90022676
Jim Walsh;76; 6-4;195;1,9304;88,43537415
Jim Ware;79; 6-7;210;2,0066;95,23809524
Jim Washington;78; 6-6;210;1,9812;95,23809524
Jim Zoet;85; 7-1;240;2,159;108,8435374
Jimmer Fredette;74; 6-2;195;1,8796;88,43537415
Jimmy Butler;79; 6-7;220;2,0066;99,77324263
Jimmy Carruth;82; 6-10;265;2,0828;120,1814059
Jimmy Collins;74; 6-2;175;1,8796;79,36507937
Jimmy Darrow;70; 5-10;170;1,778;77,09750567
Jimmy Jones;76; 6-4;188;1,9304;85,26077098
Jimmy King;77; 6-5;210;1,9558;95,23809524
Jimmy Oliver;77; 6-5;205;1,9558;92,97052154
Jimmy Walker;75; 6-3;195;1,905;88,43537415
Jiri Welsch;79; 6-7;208;2,0066;94,33106576
Jo Jo English;76; 6-4;195;1,9304;88,43537415
Jo Jo White;75; 6-3;190;1,905;86,16780045
Joakim Noah;83; 6-11;232;2,1082;105,2154195
Joby Wright;80; 6-8;220;2,032;99,77324263
Jodie Meeks;76; 6-4;208;1,9304;94,33106576
Joe Alexander;80; 6-8;230;2,032;104,30839
Joe Arlauckas;81; 6-9;230;2,0574;104,30839
Joe Barry Carroll;84; 7-0;225;2,1336;102,0408163
Joe Binion;80; 6-8;235;2,032;106,5759637
Joe Bryant;81; 6-9;185;2,0574;83,90022676
Joe Buckhalter;79; 6-7;210;2,0066;95,23809524
Joe Caldwell;77; 6-5;195;1,9558;88,43537415
Joe Cooke;75; 6-3;175;1,905;79,36507937
Joe Cooper;82; 6-10;230;2,0828;104,30839
Joe Courtney;80; 6-8;235;2,032;106,5759637
Joe Crawford;77; 6-5;210;1,9558;95,23809524
Joe Crispin;72; 6-0;185;1,8288;83,90022676
Joe Dumars;75; 6-3;190;1,905;86,16780045
Joe Ellis;78; 6-6;175;1,9812;79,36507937
Joe Graboski;79; 6-7;195;2,0066;88,43537415
Joe Hassett;77; 6-5;180;1,9558;81,63265306
Joe Holup;78; 6-6;215;1,9812;97,50566893
Joe Johnson;80; 6-8;225;2,032;102,0408163
Joe Kennedy;78; 6-6;210;1,9812;95,23809524
Joe Kleine;83; 6-11;255;2,1082;115,6462585
Joe Kopicki;81; 6-9;240;2,0574;108,8435374
Joe Meriweather;82; 6-10;215;2,0828;97,50566893
Joe Pace;82; 6-10;220;2,0828;99,77324263
Joe Reaves;77; 6-5;210;1,9558;95,23809524
Joe Roberts;78; 6-6;214;1,9812;97,0521542
Joe Ruklick;81; 6-9;220;2,0574;99,77324263
Joe Smith;82; 6-10;225;2,0828;102,0408163
Joe Stephens;79; 6-7;210;2,0066;95,23809524
Joe Strawder;82; 6-10;235;2,0828;106,5759637
Joe Thomas;78; 6-6;205;1,9812;92,97052154
Joe Wolf;83; 6-11;230;2,1082;104,30839
Joel Anthony;81; 6-9;245;2,0574;111,1111111
Joel Freeland;82; 6-10;250;2,0828;113,3786848
Joel Kramer;79; 6-7;203;2,0066;92,06349206
Joel Przybilla;85; 7-1;255;2,159;115,6462585
Joey Dorsey;80; 6-8;268;2,032;121,5419501
Joey Graham;79; 6-7;225;2,0066;102,0408163
Johan Petro;84; 7-0;247;2,1336;112,0181406
John Amaechi;82; 6-10;270;2,0828;122,4489796
John Arthurs;76; 6-4;185;1,9304;83,90022676
John Bagley;72; 6-0;185;1,8288;83,90022676
John Barber;78; 6-6;210;1,9812;95,23809524
John Barnhill;73; 6-1;180;1,8542;81,63265306
John Battle;74; 6-2;175;1,8796;79,36507937
John Block;81; 6-9;207;2,0574;93,87755102
John Brisker;77; 6-5;210;1,9558;95,23809524
John Brown;79; 6-7;220;2,0066;99,77324263
John Celestand;76; 6-4;178;1,9304;80,72562358
John Coker;84; 7-0;253;2,1336;114,739229
John Coughran;79; 6-7;225;2,0066;102,0408163
John Crotty;73; 6-1;185;1,8542;83,90022676
John Douglas;74; 6-2;170;1,8796;77,09750567
John Drew;78; 6-6;205;1,9812;92,97052154
John Duren;75; 6-3;195;1,905;88,43537415
John Edwards;84; 7-0;275;2,1336;124,7165533
John Fairchild;80; 6-8;205;2,032;92,97052154
John Garris;80; 6-8;205;2,032;92,97052154
John Gianelli;82; 6-10;220;2,0828;99,77324263
John Greig;79; 6-7;215;2,0066;97,50566893
John Havlicek;77; 6-5;203;1,9558;92,06349206
John Henson;83; 6-11;220;2,1082;99,77324263
John Hummer;81; 6-9;230;2,0574;104,30839
John Jenkins;76; 6-4;215;1,9304;97,50566893
John Johnson;79; 6-7;200;2,0066;90,70294785
John Kuester;74; 6-2;180;1,8796;81,63265306
John Lambert;82; 6-10;225;2,0828;102,0408163
John Laskowski;78; 6-6;185;1,9812;83,90022676
John Long;77; 6-5;195;1,9558;88,43537415
John Lucas;71; 5-11;165;1,8034;74,82993197
John Lucas;75; 6-3;175;1,905;79,36507937
John McCullough;76; 6-4;190;1,9304;86,16780045
John Mengelt;74; 6-2;195;1,8796;88,43537415
John Morton;75; 6-3;180;1,905;81,63265306
John Olive;79; 6-7;210;2,0066;95,23809524
John Paxson;74; 6-2;185;1,8796;83,90022676
John Pinone;80; 6-8;230;2,032;104,30839
John Richter;81; 6-9;225;2,0574;102,0408163
John Roche;75; 6-3;170;1,905;77,09750567
John Rudd;79; 6-7;230;2,0066;104,30839
John Rudometkin;78; 6-6;205;1,9812;92,97052154
John Salley;83; 6-11;230;2,1082;104,30839
John Salmons;79; 6-7;210;2,0066;95,23809524
John Schweitz;78; 6-6;210;1,9812;95,23809524
John Shasky;83; 6-11;235;2,1082;106,5759637
John Shumate;81; 6-9;235;2,0574;106,5759637
John Starks;75; 6-3;180;1,905;81,63265306
John Stockton;73; 6-1;170;1,8542;77,09750567
John Stroeder;82; 6-10;260;2,0828;117,9138322
John Stroud;79; 6-7;215;2,0066;97,50566893
John Thomas;81; 6-9;265;2,0574;120,1814059
John Thompson;82; 6-10;225;2,0828;102,0408163
John Trapp;79; 6-7;210;2,0066;95,23809524
John Tresvant;79; 6-7;215;2,0066;97,50566893
John Tschogl;78; 6-6;206;1,9812;93,42403628
John Vallely;75; 6-3;185;1,905;83,90022676
John Wall;76; 6-4;195;1,9304;88,43537415
John Wallace;80; 6-8;225;2,032;102,0408163
John Warren;75; 6-3;180;1,905;81,63265306
John Wetzel;77; 6-5;190;1,9558;86,16780045
John Williams;80; 6-8;235;2,032;106,5759637
John Williamson;74; 6-2;185;1,8796;83,90022676
John Windsor;80; 6-8;215;2,032;97,50566893
Johnny Austin;72; 6-0;170;1,8288;77,09750567
Johnny Baum;77; 6-5;200;1,9558;90,70294785
Johnny Cox;76; 6-4;180;1,9304;81,63265306
Johnny Davis;74; 6-2;170;1,8796;77,09750567
Johnny Dawkins;74; 6-2;165;1,8796;74,82993197
Johnny Egan;71; 5-11;180;1,8034;81,63265306
Johnny Green;77; 6-5;200;1,9558;90,70294785
Johnny High;75; 6-3;185;1,905;83,90022676
Johnny Horan;80; 6-8;190;2,032;86,16780045
Johnny Jones;79; 6-7;205;2,0066;92,97052154
Johnny McCarthy;73; 6-1;185;1,8542;83,90022676
Johnny Moore;73; 6-1;175;1,8542;79,36507937
Johnny Neumann;78; 6-6;200;1,9812;90,70294785
Johnny Newman;79; 6-7;190;2,0066;86,16780045
Johnny Rogers;82; 6-10;225;2,0828;102,0408163
Johnny Taylor;81; 6-9;220;2,0574;99,77324263
Jon Barry;76; 6-4;195;1,9304;88,43537415
Jon Brockman;79; 6-7;255;2,0066;115,6462585
Jon Koncak;84; 7-0;250;2,1336;113,3786848
Jon Leuer;82; 6-10;228;2,0828;103,4013605
Jon McGlocklin;77; 6-5;205;1,9558;92,97052154
Jon Sundvold;74; 6-2;170;1,8796;77,09750567
Jonas Jerebko;82; 6-10;231;2,0828;104,7619048
Jonas Valanciunas;83; 6-11;231;2,1082;104,7619048
Jonathan Bender;83; 6-11;202;2,1082;91,60997732
Jonathan Kerner;83; 6-11;245;2,1082;111,1111111
Jonny Flynn;72; 6-0;185;1,8288;83,90022676
Jordan Crawford;76; 6-4;195;1,9304;88,43537415
Jordan Farmar;74; 6-2;180;1,8796;81,63265306
Jordan Hamilton;79; 6-7;220;2,0066;99,77324263
Jordan Hill;82; 6-10;235;2,0828;106,5759637
Jordan Williams;82; 6-10;260;2,0828;117,9138322
Jorge Garbajosa;81; 6-9;245;2,0574;111,1111111
Jorge Gutierrez;75; 6-3;191;1,905;86,62131519
Jose Barea;72; 6-0;175;1,8288;79,36507937
Jose Calderon;75; 6-3;210;1,905;95,23809524
Jose Ortiz;82; 6-10;225;2,0828;102,0408163
Jose Slaughter;77; 6-5;205;1,9558;92,97052154
Joseph Forte;76; 6-4;194;1,9304;87,98185941
Josh Akognon;71; 5-11;185;1,8034;83,90022676
Josh Boone;82; 6-10;237;2,0828;107,4829932
Josh Childress;80; 6-8;210;2,032;95,23809524
Josh Davis;80; 6-8;235;2,032;106,5759637
Josh Grant;81; 6-9;223;2,0574;101,1337868
Josh Harrellson;82; 6-10;275;2,0828;124,7165533
Josh Howard;79; 6-7;210;2,0066;95,23809524
Josh McRoberts;82; 6-10;240;2,0828;108,8435374
Josh Powell;81; 6-9;225;2,0574;102,0408163
Josh Selby;74; 6-2;183;1,8796;82,99319728
Josh Smith;81; 6-9;225;2,0574;102,0408163
Jrue Holiday;75; 6-3;180;1,905;81,63265306
Juan Carlos Navarro;75; 6-3;170;1,905;77,09750567
Juan Dixon;75; 6-3;164;1,905;74,37641723
Juaquin Hawkins;79; 6-7;220;2,0066;99,77324263
Jud Buechler;78; 6-6;220;1,9812;99,77324263
Julian Wright;80; 6-8;225;2,032;102,0408163
Julius Erving;78; 6-6;200;1,9812;90,70294785
Julius Hodge;79; 6-7;210;2,0066;95,23809524
Julius Nwosu;82; 6-10;255;2,0828;115,6462585
Julyan Stone;78; 6-6;200;1,9812;90,70294785
Jumaine Jones;80; 6-8;218;2,032;98,86621315
Junior Bridgeman;77; 6-5;210;1,9558;95,23809524
Junior Burrough;80; 6-8;242;2,032;109,7505669
Junior Harrington;76; 6-4;180;1,9304;81,63265306
Justin Dentmon;71; 5-11;185;1,8034;83,90022676
Justin Hamilton;84; 7-0;260;2,1336;117,9138322
Justin Harper;82; 6-10;225;2,0828;102,0408163
Justin Holiday;78; 6-6;185;1,9812;83,90022676
Justin Reed;80; 6-8;240;2,032;108,8435374
Justin Williams;82; 6-10;225;2,0828;102,0408163
Justus Thigpen;73; 6-1;160;1,8542;72,56235828
Juwan Howard;81; 6-9;240;2,0574;108,8435374
K.C. Jones;73; 6-1;200;1,8542;90,70294785
Kaniel Dickens;80; 6-8;215;2,032;97,50566893
Kannard Johnson;81; 6-9;220;2,0574;99,77324263
Kareem Abdul-Jabbar;86; 7-2;225;2,1844;102,0408163
Kareem Rush;78; 6-6;215;1,9812;97,50566893
Karl Malone;81; 6-9;250;2,0574;113,3786848
Kasib Powell;79; 6-7;215;2,0066;97,50566893
Kawhi Leonard;79; 6-7;225;2,0066;102,0408163
Kebu Stewart;80; 6-8;239;2,032;108,3900227
Kedrick Brown;79; 6-7;222;2,0066;100,6802721
Keith Askins;79; 6-7;197;2,0066;89,34240363
Keith Benson;83; 6-11;230;2,1082;104,30839
Keith Bogans;77; 6-5;215;1,9558;97,50566893
Keith Booth;78; 6-6;226;1,9812;102,4943311
Keith Closs;87; 7-3;212;2,2098;96,14512472
Keith Edmonson;77; 6-5;195;1,9558;88,43537415
Keith Erickson;77; 6-5;195;1,9558;88,43537415
Keith Herron;78; 6-6;195;1,9812;88,43537415
Keith Jennings;67; 5-7;160;1,7018;72,56235828
Keith Langford;76; 6-4;215;1,9304;97,50566893
Keith Lee;82; 6-10;215;2,0828;97,50566893
Keith McCord;79; 6-7;210;2,0066;95,23809524
Keith McLeod;74; 6-2;188;1,8796;85,26077098
Keith Smart;73; 6-1;175;1,8542;79,36507937
Keith Smith;75; 6-3;180;1,905;81,63265306
Keith Starr;78; 6-6;190;1,9812;86,16780045
Keith Tower;83; 6-11;250;2,1082;113,3786848
Keith Van Horn;82; 6-10;220;2,0828;99,77324263
Kelenna Azubuike;77; 6-5;220;1,9558;99,77324263
Kelly McCarty;79; 6-7;200;2,0066;90,70294785
Kelly Olynyk;84; 7-0;238;2,1336;107,9365079
Kelly Tripucka;78; 6-6;220;1,9812;99,77324263
Kelvin Cato;83; 6-11;255;2,1082;115,6462585
Kelvin Ransey;73; 6-1;170;1,8542;77,09750567
Kelvin Upshaw;74; 6-2;180;1,8796;81,63265306
Kemba Walker;73; 6-1;172;1,8542;78,00453515
Ken Austin;81; 6-9;205;2,0574;92,97052154
Ken Bannister;81; 6-9;235;2,0574;106,5759637
Ken Boyd;77; 6-5;195;1,9558;88,43537415
Ken Charles;75; 6-3;180;1,905;81,63265306
Ken Durrett;79; 6-7;190;2,0066;86,16780045
Ken Green;80; 6-8;215;2,032;97,50566893
Ken Johnson;80; 6-8;240;2,032;108,8435374
Ken Johnson;83; 6-11;240;2,1082;108,8435374
Ken Mayfield;74; 6-2;185;1,8796;83,90022676
Ken McBride;75; 6-3;190;1,905;86,16780045
Ken Murray;74; 6-2;190;1,8796;86,16780045
Ken Norman;80; 6-8;215;2,032;97,50566893
Ken Rohloff;72; 6-0;195;1,8288;88,43537415
Ken Wilburn;78; 6-6;195;1,9812;88,43537415
Kendall Gill;77; 6-5;195;1,9558;88,43537415
Kendall Marshall;76; 6-4;195;1,9304;88,43537415
Kendrick Perkins;82; 6-10;280;2,0828;126,984127
Kennard Winchester;77; 6-5;210;1,9558;95,23809524
Kenneth Faried;80; 6-8;228;2,032;103,4013605
Kenny Anderson;72; 6-0;168;1,8288;76,19047619
Kenny Battle;78; 6-6;210;1,9812;95,23809524
Kenny Carr;79; 6-7;220;2,0066;99,77324263
Kenny Dennard;80; 6-8;220;2,032;99,77324263
Kenny Fields;77; 6-5;220;1,9558;99,77324263
Kenny Gattison;80; 6-8;225;2,032;102,0408163
Kenny Green;78; 6-6;210;1,9812;95,23809524
Kenny Higgs;72; 6-0;180;1,8288;81,63265306
Kenny McIntosh;79; 6-7;225;2,0066;102,0408163
Kenny Natt;75; 6-3;185;1,905;83,90022676
Kenny Payne;80; 6-8;195;2,032;88,43537415
Kenny Satterfield;74; 6-2;186;1,8796;84,3537415
Kenny Sears;81; 6-9;198;2,0574;89,79591837
Kenny Smith;75; 6-3;170;1,905;77,09750567
Kenny Thomas;79; 6-7;261;2,0066;118,3673469
Kenny Walker;80; 6-8;210;2,032;95,23809524
Kenny Williams;81; 6-9;205;2,0574;92,97052154
Kent Bazemore;77; 6-5;201;1,9558;91,15646259
Kent Benson;82; 6-10;235;2,0828;106,5759637
